pixels,widths,hights
7636,92,83
18240,120,152
13090,110,119
7636,92,83
22610,133,170
12980,110,118
7896,94,84
24603,139,177
13320,111,120
7802,94,83
21120,128,165
13200,110,120
7626,93,82
21840,130,168
13080,109,120
22968,132,174
12733,107,119
23232,132,176
12614,106,119
25024,136,184
12614,106,119
18762,118,159
12495,105,119
16539,111,149
8730,90,97
12720,106,120
17980,116,155
12495,105,119
12672,99,128
12257,103,119
13802,103,134
12257,103,119
15012,108,139
12036,102,118
14416,106,136
12036,102,118
5670,81,70
13433,101,133
11817,101,117
4928,77,64
10324,89,116
11817,101,117
4575,75,61
12544,98,128
11817,101,117
9744,87,112
11918,101,118
14144,104,136
8544,89,96
6461,71,91
12360,103,120
12240,102,120
14734,106,139
12120,101,120
14840,106,140
11800,100,118
8300,100,83
13872,102,136
12019,101,119
8772,102,86
12610,97,130
12000,100,120
8585,101,85
10710,90,119
12000,100,120
8700,100,87
9831,87,113
12221,101,121
8700,100,87
9856,88,112
12322,101,122
7790,95,82
11328,96,118
11880,99,120
6930,90,77
13910,107,130
8544,89,96
11349,97,117
5740,82,70
16356,116,141
11564,98,118
5226,78,67
17666,121,146
11564,98,118
4851,77,63
20540,130,158
11328,96,118
5056,79,64
21842,134,163
10830,95,114
20930,130,161
10622,94,113
19656,126,156
10528,94,112
19656,126,156
4680,65,72
10830,95,114
24640,140,176
4615,65,71
9919,91,109
5248,82,64
23936,136,176
4752,66,72
5166,82,63
22100,130,170
4891,67,73
8633,89,97
6210,90,69
22925,131,175
6468,77,84
5963,89,67
24522,134,183
6545,77,85
6324,93,68
22833,129,177
6298,94,67
6693,97,69
7272,101,72
14317,103,139
7950,106,75
8239,107,77
14784,112,132
9266,113,82
15162,114,133
9890,115,86
8536,88,97
15410,115,134
10092,116,87
15544,116,134
9744,112,87
15428,116,133
9968,112,89
15428,116,133
10374,114,91
15180,115,132
10622,113,94
15196,116,131
10752,112,96
15694,118,133
10767,111,97
15812,118,134
10780,110,98
15812,118,134
10682,109,98
15678,117,134
10070,106,95
8170,86,95
15694,118,133
10080,105,96
15694,118,133
10486,107,98
15694,118,133
10692,108,99
15694,118,133
16080,120,134
16470,122,135
16482,123,134
17272,127,136
16625,125,133
9393,101,93
16368,124,132
9207,99,93
8084,86,94
16368,124,132
9016,98,92
16236,123,132
9016,98,92
16758,126,133
7565,89,85
17280,128,135
8928,96,93
16758,126,133
9310,98,95
16758,126,133
9310,98,95
16758,126,133
9310,98,95
16244,124,131
9310,98,95
16113,123,131
9215,97,95
16113,123,131
9120,96,95
8084,86,94
15609,121,129
8742,94,93
15609,121,129
8372,92,91
16236,123,132
16368,124,132
16492,124,133
16236,123,132
15851,121,131
15470,119,130
12296,106,116
11000,100,110
7990,85,94
10791,99,109
10890,99,110
11211,101,111
11100,100,111
11000,100,110
10989,99,111
11300,100,113
17061,121,141
11088,99,112
17324,122,142
6840,72,95
11187,99,113
18125,125,145
6674,71,94
21353,131,163
11400,100,114
18250,125,146
6510,70,93
24957,141,177
7896,84,94
11615,101,115
6603,71,93
23427,137,171
11615,101,115
6279,69,91
23701,137,173
11615,101,115
25060,140,179
11400,100,114
28371,147,193
11615,101,115
26838,142,189
11934,102,117
25296,136,186
12600,105,120
25515,135,189
12915,105,123
25728,134,192
23989,149,161
9540,90,106
12688,104,122
9212,98,94
24510,129,190
23680,148,160
9450,90,105
12584,104,121
9300,100,93
21901,121,181
23226,147,158
17010,105,162
7896,84,94
12240,102,120
9785,103,95
21122,118,179
22022,143,154
16116,102,158
12240,102,120
9408,98,96
20996,116,181
21584,142,152
14400,96,150
12240,102,120
11232,104,108
18810,110,171
20860,140,149
15444,99,156
3034,37,82
11800,100,118
14145,115,123
15642,99,158
22475,145,155
3116,38,82
11583,99,117
17250,125,138
13708,92,149
22176,144,154
8772,86,102
3116,38,82
11800,100,118
14464,113,128
12789,87,147
21736,143,152
8944,86,104
3237,39,83
12000,100,120
13054,107,122
12728,86,148
22484,146,154
9030,86,105
3280,40,82
11682,99,118
13392,108,124
13311,87,153
22484,146,154
8925,85,105
3280,40,82
11682,99,118
13392,108,124
13904,88,158
22785,147,155
9010,85,106
3362,41,82
11252,97,116
13284,108,123
13588,86,158
24168,152,159
8652,84,103
3321,41,81
7896,84,94
6790,70,97
10848,96,113
13500,108,125
13746,87,158
21600,144,150
8364,82,102
3402,42,81
10735,95,113
13038,106,123
13746,87,158
24009,151,159
8181,81,101
3526,43,82
10120,92,110
17712,123,144
16435,95,173
25110,155,162
8364,82,102
3526,43,82
9810,90,109
17875,125,143
18117,99,183
25740,156,165
8446,82,103
3564,44,81
9416,88,107
20520,135,152
17640,98,180
25740,156,165
8446,82,103
3608,44,82
8925,85,105
26316,153,172
15996,93,172
25740,156,165
8364,82,102
3564,44,81
8364,82,102
18200,100,182
25896,156,166
8364,82,102
3690,45,82
18270,126,145
25740,156,165
8820,84,105
3645,45,81
18352,124,148
